"Grantmaker.Name","Grantmaker.State","Recipient.Name","Recipient.City","Recipient.State.Country","Primary.Subject","Year.Authorized","Grant.Amount","Support.Strategies","Description"
"Borgwarner Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2015,900,"",""
"Liberty Mutual Foundation","MA","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2015,687,"","Matching contribution"
"Abbott Fund","IL","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2015,520,"General support","General Support"
"Edp Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2015,500,"General support","General assistance"
"Coleman Family Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2015,500,"Fundraising","Gala"
"The Lisa and Brian Meer Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2015,500,"General support","General use"
"Fidelity Investments Charitable Gift Fund","MA","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2015,500,"",""
"Fidelity Investments Charitable Gift Fund","MA","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2015,500,"",""
"Sherwood Family Foundation","FL","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2015,380,"General support","Unrestricted grant to general fund"
"Illinois Tool Works Foundation","IL","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2015,300,"General support","Unrestricted"
"The Lisa and Brian Meer Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2015,250,"General support","For general support"
"Fidelity Investments Charitable Gift Fund","MA","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2015,250,"",""
"International Radiosurgery Research Foundation","PA","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2015,250,"",""
"GE Aerospace Foundation.","CT","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2015,200,"","Matching gifts payments"
"GE Aerospace Foundation.","CT","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2015,200,"","Matching gifts payments"
"The Baum Family Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2015,200,"General support","General contribution"
"Fidelity Investments Charitable Gift Fund","MA","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2015,200,"",""
"Grand Rapids Community Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2015,150,"","Renucci House - Matching Gift from Roberta King"
"Grand Rapids Community Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2015,100,"","Matching Gift"
"Grand Rapids Community Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2015,100,"","Matching Gift"
"Fidelity Investments Charitable Gift Fund","MA","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2015,100,"",""
"Fidelity Investments Charitable Gift Fund","MA","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2015,100,"",""
"Fidelity Investments Charitable Gift Fund","MA","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2015,100,"",""
"The Pfizer Foundation Inc","NY","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2015,80,"",""
"Jpmorgan Chase Foundation","NY","Spectrum Health Foundation","Grand Rapids","MI","Religion ",2015,75,"Financial sustainability","Charitable program activities support"
"The David and Sheryl Livingston Family Foundation","MI","Spectrum Health Foundation","Big Rapids","MI"," ",2015,50,"","MEDICAL RESEARCH"
"GE Aerospace Foundation.","CT","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2015,50,"","Matching gifts payments"
"Jack and Lija Romence Family Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2015,40,"","Charitable"
"Grand Rapids Community Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2015,30,"","Matching Gift"
"Amazonsmile Foundation","WA","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2015,24,"General support",""
"Eileen Devries Family Foundation","MI","Spectrum Health Foundation","Big Rapids","MI","Health ",2015,NA,"Financial sustainability","network to raise funds for various health organizations"
"Wk Kellogg Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2014,4277575,"Program support","Implement a community-driven program to improve maternal-child health among Latina women and their young children through inclusive programming and evaluation as well as proven programming to engage male partners"
"The Meijer Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Heart and circulatory system diseases ",2014,1000000,"Program support","For Frederik Meijer Heart and Vascular Institute"
"The Meijer Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2014,610000,"",""
"Douglas & Maria Devos Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2014,502500,"General support",""
"The Eugene Applebaum Family Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2014,300000,"","Education &amp; Research"
"Douglas & Maria Devos Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2014,289000,"General support",""
"The Rodney Fund","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2014,100000,"","General funding 501(C)3"
"William G Currie Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community improvement ",2014,100000,"","Support of surrounding communities"
"The Meryl & Charles Witmer Charitable Foundation","NY","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2014,100000,"General support","General use"
"Community Foundation for Southeast Michigan","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Cancers ",2014,100000,"Research","Cancer Genetics Research"
"Robert F Beard Charitable Foundat'n C/o James R Clark","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2014,86125,"General support","Unrestricted grant"
"The Cold Heading Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2014,80000,"",""
"Grand Rapids Community Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Graduate and professional education ",2014,60550,"Awards, prizes and competitions","Multiple grants awarded"
"The Gerber Foundation","MI","Corewell Health","Grand Rapids","MI","Emergency care ",2014,50000,"","Emergency Department Project"
"The Owen Moscone Foundation","CA","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2014,50000,"","Neuroblastoma research"
"The Sally a. & Graham a. Orley Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2014,50000,"General support","Unrestricted"
"SWIFTY FOUNDATION","IL","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2014,50000,"","Cancer research"
"Marvin and Betty Danto Family Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2014,45000,"","Unrestricted charitable gift"
"Kutsche Charitable Trust","OH","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2014,40440,"","Research and diagnostic"
"Grand Rapids Community Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Graduate and professional education ",2014,40275,"Awards, prizes and competitions","Multiple grants awarded"
"Pnc Foundation","PA","Spectrum Health Foundation","Grand Rapids","MI","Health ",2014,35000,"Program support","Spectrum Health Community Medicine Clinic - Healthy Families Program"
"Gillett Family Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2014,25000,"General support","General contribution"
"Vanguard Charitable","PA","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2014,16000,"","For Specific project"
"Community Foundation for Southeast Michigan","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2014,15500,"General support","General Operations"
"Peter and Joan Secchia Family Inc","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2014,15000,"","2014 Gift"
"John Dykema and Michele Maly-Dykema Family Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2014,15000,"General support","General"
"Ann and Mike Rosenthal Family Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2014,15000,"","Heart"
"SpartanNash Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2014,14286,"","Donation"
"John W Blodgett Irrevocable Trust","TX","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2014,13653,"General support","Unrestricted general"
"Leslie Tassell Foundation DBA Tassell-Wisner-Bottrall Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2014,11500,"","Endowment fd"
"John Dykema and Michele Maly-Dykema Family Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2014,10000,"Program support","Milan&#039;s miracle fund"
"Ufp Industries Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2014,10000,"","Scientific"
"The Karen & Drew Peslar Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2014,10000,"",""
"John and Judy Spoelhof Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2014,10000,"General support","General Operations"
"Community Foundation for Southeast Michigan","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Breast cancer ",2014,10000,"Equipment","Digital Breast Tomosynthesis machine"
"Community Foundation for Southeast Michigan","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Cardiology ",2014,10000,"Research","Heart research program"
"Community Foundation for Southeast Michigan","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Surgery ",2014,10000,"Program support","Barlatric surgery program"
"Molinello Family Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2014,10000,"",""
"Brown Tassell Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2014,8000,"","Operating"
"Wilkinson Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2014,8000,"General support","General Charitable Purpose"
"River City Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2014,5000,"General support","General support"
"Hy and Greta Berkowitz Foundation","MA","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2014,5000,"Continuing support;General support","Annual support"
"Douglas & Sandra Dekock Family Foun C/o Douglas Dekock","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2014,5000,"","Non-profit"
"Larry and Karen Mulder Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2014,5000,"General support","Unrestricted grant to general fund"
"Steve & Amy Van Andel Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2014,5000,"","Medical"
"James and Catherine Rosenthal Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Cardiology ",2014,5000,"","Heart and vascular fund"
"Jim and Ginger Jurries Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2014,4820,"Endowments","Endowment"
"Linda Petro Ulrey and Laurence A Ulrey Family Foundation Inc","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2014,4556,"","Charitable purposes"
"John Dykema and Michele Maly-Dykema Family Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2014,4100,"General support","General support"
"Frey Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Gift distribution ",2014,4000,"","To organize holiday celebrations for children hospitalized at devos children&#039;s hospital during the 2014 holiday season"
